lsoa11,index2019
E01000839,-0.560305144
E01000840,0.502395267
E01000841,-0.548372642
E01000842,-0.570099609
E01000843,-0.554685928
E01000844,-0.212845815
E01000845,-0.383574455
E01000846,0.045467083
E01000847,-0.386005251
E01000848,-0.762055029
E01000849,-0.411936528
E01000850,-1.506678094
E01000851,-1.241059095
E01000852,-1.013801387
E01000853,0.630275613
E01000854,-0.654658832
E01000855,-0.472722936
E01000856,0.475597968
E01000857,-0.110888558
E01000858,0.577688428
E01000859,-0.738171173
E01000860,-0.11077125
E01000861,0.74724221
E01000862,-0.808887389
E01000863,0.583426558
E01000864,0.093945243
E01000865,-0.3356133
E01000866,0.033232176
E01000867,0.085026838
E01000868,0.583996941
E01000869,0.491697157
E01000870,0.682997881
E01000871,-0.66551573
E01000872,-0.102264328
E01000873,-0.739255543
E01000874,-0.935342882
E01000875,-0.061496774
E01000876,-0.002223891
E01000877,-0.404227169
E01000878,-0.917048805
E01000879,-0.775584712
E01000880,-0.7311717
E01000881,-0.766324366
E01000882,-1.032834599
E01000883,-0.934846317
E01000884,-0.922714758
E01000885,-0.903634045
E01000886,-0.248327322
E01000887,-0.383420457
E01000888,-0.434382604
E01000889,0.799252777
E01000890,1.294111511
E01000891,1.598423228
E01000892,-0.242468834
E01000893,-0.534272924
E01000894,-0.90798457
E01000895,-0.396098019
E01000896,-0.907901968
E01000897,-0.935986813
E01000898,-0.039010628
E01000899,-1.003532722
E01000900,0.344781416
E01000901,0.477256393
E01000902,1.711917888
E01000903,0.251640806
E01000904,0.392926253
E01000905,1.255787374
E01000906,-0.631498733
E01000907,0.955142699
E01000908,0.69542463
E01000909,-0.051551334
E01000910,-0.25375928
E01000911,0.466699287
E01000912,0.567412336
E01000913,-0.402092763
E01000914,-0.990757567
E01000915,-0.57161576
E01000916,-0.620581457
E01000917,0.309927642
E01000918,-0.541450585
E01000919,-0.495491923
E01000920,-0.57173593
E01000921,-0.189684579
E01000922,0.382971156
E01000923,0.665662645
E01000924,0.280385016
E01000925,0.3545407
E01000926,0.167101615
E01000927,0.020646327
E01000928,0.132891166
E01000929,-0.407913937
E01000930,0.019762078
E01000931,0.528857586
E01000932,0.254070934
E01000933,0.139608557
E01000934,0.68021033
E01000935,-0.001878526
E01000936,-0.79469764
E01000937,-1.315827929
E01000938,0.154545256
E01000939,0.079989399
E01000940,-0.525500739
E01000941,0.279486625
E01000942,-1.131913808
E01000943,-0.568196417
E01000944,-0.040772439
E01000945,0.097731424
E01000946,-0.444741057
E01000947,0.572736187
E01000948,0.564406879
E01000949,0.374940774
E01000950,0.667585574
E01000951,0.266604424
E01000952,0.617517157
E01000953,-0.045865232
E01000954,0.741546345
E01000955,0.368000044
E01000956,0.361737759
E01000957,0.324025963
E01000958,-0.084786997
E01000959,0.706450834
E01000960,-0.650579244
E01000961,-0.128740956
E01000962,-0.853477871
E01000963,-0.767754745
E01000964,-0.416124591
E01000965,-0.355197838
E01000966,-0.864345209
E01000967,-1.182852302
E01000968,-0.566951217
E01000969,-1.054802371
E01000970,-0.65636863
E01000971,-0.794530608
E01000972,0.433086614
E01000973,-0.45879428
E01000974,0.08546665
E01000975,-0.933936254
E01000976,-0.583764577
E01000977,0.439220344
E01000978,-0.562106337
E01000979,-0.895940915
E01000980,-0.748128541
E01000981,-0.84268364
E01000982,-0.954514865
E01000983,-0.566172552
E01000984,0.2474214
E01000985,-0.665441679
E01000986,-0.414005474
E01000987,-0.352239762
E01000989,-0.531944388
E01000990,-0.089630264
E01000991,-0.873615286
E01000992,-0.036209597
E01000993,-0.350660343
E01000994,-1.026863571
E01000995,-0.951712851
E01000996,-0.939572706
E01000997,-0.584956058
E01000998,-0.657427696
E01000999,-0.953534388
E01001000,-0.795330934
E01001001,-0.360827547
E01001002,-1.045487724
E01001003,-0.892250464
E01001004,-0.974651771
E01001005,-1.160906955
E01001006,-0.693077193
E01001007,-1.196316807
E01001008,-0.911874047
E01001009,-1.036292243
E01001010,-0.655154687
E01001011,-0.938388355
E01001012,-0.605014474
E01001013,-0.448232788
E01001014,-0.988710848
E01001015,-0.012407784
E01001016,-0.163374731
E01001017,-0.24116275
E01001018,-0.0042885
E01001019,-0.153157518
E01001020,0.179538296
E01001021,0.856141967
E01001022,0.264468881
E01001023,-0.120699892
E01001024,-0.588501246
E01001025,-0.904604385
E01001026,-0.573834653
E01001027,-0.757245275
E01001028,0.004003106
E01001029,-0.322203666
E01001030,-0.719116504
E01001031,-0.897085676
E01001032,-0.277068166
E01001033,-0.740491256
E01001034,-0.587119529
E01001035,-0.476745766
E01001036,-0.488753174
E01001037,-0.746405446
E01001038,-0.785538189
E01001039,-0.672650114
E01001040,-0.786076014
E01001041,-0.512594122
E01001042,-0.795602709
E01001043,-0.764411476
E01001044,-0.860687302
E01001045,-0.634526621
E01001046,-1.198687493
E01001047,-0.74492382
E01001048,-0.757358172
E01001049,-0.839252878
E01001050,-0.687644951
E01001051,0.091116564
E01001052,0.197952994
E01001053,-0.035890855
E01001054,0.160090619
E01001055,0.644018939
E01001056,0.325753949
E01001057,0.032113013
E01001058,-0.492473447
E01001059,-0.55804358
E01001060,-0.511719883
E01001061,-0.178151994
E01001062,-0.316905075
E01001063,-0.994826207
E01001064,-0.387862332
E01001065,-0.326863038
E01001066,0.541058723
E01001067,-0.367458919
E01001068,-0.065519685
E01001069,-0.312796447
E01001070,-0.438087517
E01001071,-0.104185739
E01001072,0.246794965
E01001073,-0.45619951
E01001074,-0.347417966
E01001075,-0.478379419
E01001076,0.068523873
E01001077,-0.330460327
E01001078,0.100077084
E01001079,0.130121745
E01001080,1.572504529
E01001081,0.399789564
E01001082,-0.063372072
E01001083,-1.132277139
E01001084,-0.599359552
E01001085,-1.031243098
E01001086,-1.076132369
E01001087,-0.875968782
E01001088,-0.912268437
E01001089,-0.764086455
E01001090,-1.141673617
E01001091,-1.31308222
E01001092,0.211975161
E01001093,-0.644342099
E01001094,-0.470739523
E01001095,-0.692475485
E01001096,-0.826593635
E01001097,-0.233848431
E01001098,-0.636926814
E01001099,-0.470239022
E01001100,-0.733949573
E01001101,-0.935037275
E01001102,-0.461556345
E01001103,-0.335068412
E01001104,-0.602493328
E01001105,0.043402976
E01001106,0.164452914
E01001107,-0.419817365
E01001108,-0.725828344
E01001109,-0.411277046
E01001110,0.446467929
E01001111,-0.596995351
E01001112,-0.485458311
E01001113,-0.83480916
